Dry_Season_2017,Dry_Season_2018,Dry_Season_2019,Dry_Season_2020,Dry_Season_2021
-1.907999992,-2.062,-1.865,-1.497,-4.478
-2.349999905,-1.346,-2.035,-1.576,-4.476
-3.304999828,-1.403,-1.957,-1.472,-4.46
-3.108999968,-1.491,-1.643,-1.433,-4.564
-4.355000019,-1.592,-1.426,-1.643,-3.566
-3.481000185,-1.633,-1.239,-1.545,-3.435
-0.768000007,-1.759,-1.007,-1.734,-2.026
-0.419,-2.222,-0.778,-1.914,-1.601
0.127999991,-2.905,-0.131,-2.065,-1.416
-1.18900001,-2.833,0.101,-1.84,-1.932
-1.397000074,-2.93,-0.018,-2.031,-2.15
-0.033,-2.616,0.265,-2.25,-1.672
0.235999987,-2.875,-0.208,-1.89,-1.961
-0.409000009,-2.325,-0.614,-1.9,-2.492
1.256000042,-2.325,-0.611,-1.299,-2.122
1.689999938,-1.734,-0.561,-1.304,-2.263
-0.012,-1.157,-0.98,-0.738,-2.372
0.830000043,-0.84,-0.455,-0.429,-2.296
-1.872999907,0.052,-0.793,-0.331,-2.626
-2.540999889,-0.085,-1.181,-0.072,-4.01
-2.761000156,0.118,-1.25,0.629,-4.997
-2.625,-0.276,-1.013,0.608,-5.099
-2.438999891,0.107,-0.897,-0.165,-4.766
-2.855999947,-0.017,-0.872,0.528,-4.373
-2.287000179,-0.491,-0.553,0.558,-5.021
-2.464999914,-0.257,-0.481,0.796,-5.362
-2.884000063,-0.748,-0.633,1.011,-4.914
-2.830999851,-1.351,-0.586,1.218,-5.355
-2.835000038,-0.709,-0.319,0.188,-5.244
-2.48300004,-3.247,-0.338,0.015,-5.192
-2.334000111,-0.946,-0.537,-0.732,-5.464
-2.287000179,-3.573,-0.585,0.32,-5.303
-2.059000015,-2.355,-0.62,-0.782,-5.168
-1.736000061,-2.983,-0.809,-0.434,-4.961
-2.520999908,-2.524,-0.898,-1.397,-4.989
-2.183000088,-2.853,-0.772,-1.564,-4.245
-2.264999866,-3.631,-0.869,-0.655,-4.224
-3.436999798,-2.826,-0.973,-0.862,-4.196
-0.326000005,-2.85,-1.034,-0.839,-4.378
-2.720000029,-2.243,-1.196,-1.021,-4.553
-3.304000139,-2.874,-1.247,-1.77,-4.459
-2.773000002,-2.674,-1.581,-1.273,-4.586
-1.674000025,-2.519,-1.741,-1.688,3.239
-0.611000001,-2.506,-2.21,-1.237,-5.027
-0.703000009,-2.34,-2.535,-1.328,-3.245
0.046999998,-2.083,-2.203,-1.453,-4.093
-0.336999983,-1.845,-2.2,-1.58,-3.586
1.422999978,-1.569,-2.489,-1.508,-2.89
1.312000036,-1.42,-2.445,-1.41,-2.292
1.506999969,-1.6,-2.361,-1.697,-2.45
0.981000066,-1.552,-2.031,-1.619,-1.963
0.751999974,-1.643,-1.846,-1.735,-2.312
-1.942000031,-1.747,-2.003,-1.736,-2.081
-2.308000088,-2.161,-1.861,-2.054,-1.912
-1.230000019,-2.47,-1.805,-2.145,-1.972
-1.467000008,-2.846,-1.424,-2.278,-2.305
-1.601999998,-3.34,-0.948,-2.383,-2.179
-1.546000004,-3.113,-0.73,-2.602,-2.704
-2.269999981,-3.038,-0.457,-2.549,-2.347
-2.504000187,-3.038,0.063,-2.554,-3.786
-2.546000004,-1.688,0.133,-2.134,-4.439
-2.037999868,-1.318,-0.343,-1.322,-4.118
-2.445999861,-0.404,-0.546,-0.877,-4.305
-2.770999908,-0.918,0.194,-0.209,-3.812
-2.407999992,-0.253,0.193,0.222,-4.005
-3.20600009,-0.955,-0.121,0.304,-4.597
-2.653000116,-0.66,-0.44,0.182,-4.841
-2.434999943,-0.004,-0.697,0.05,-4.581
-2.230999947,0.044,-0.694,0.282,-4.893
-2.072000027,-0.381,-0.843,0.287,-4.984
-2.117000103,-0.945,-0.988,0.567,-5.254
-2.320999861,-1.346,-0.265,1.113,-5.249
-2.342999935,-0.49,-0.376,0.821,-5.048
-2.816999912,-2.863,-0.687,-0.098,-5.157
-3.308000088,-1.406,-0.524,0.642,-5.223
-3.6650002,-2.857,-0.709,0.443,-5.272
-2.887000084,-3.514,-0.735,1.361,-5.046
-4.870999813,-3.425,-0.656,-0.982,-4.507
-4.604000092,-2.96,-0.505,-1.427,-4.133
-7.697000027,-3.504,-0.738,-1.2,-4.198
0.438999981,-3.163,-0.565,-1.082,-4.455
-0.501999974,-2.955,-0.595,-1.196,-4.313
0.085000001,-2.825,-0.675,-2.063,-4.6
1.38499999,-2.75,-0.684,-1.159,-3.918
1.241999984,-2.843,-0.73,-1.291,-5.053
1.10800004,-2.931,-0.671,-1.301,-4.61
0.211999983,-2.712,-0.854,-0.965,-4.337
0.498999983,-2.366,-0.781,-1.249,-4.332
-2.014999866,-2.181,-0.799,-1.625,-3.976
-2.061000109,-1.882,-0.932,-1.528,-2.895
-2.065000057,-1.686,-1.074,-1.37,-2.758
-2.480000019,-1.571,-1.043,-1.432,-2.111
-1.481999993,-1.667,-1.103,-1.638,-1.302
6.988999844,-1.582,-1.222,-1.758,-1.424
-1.470999956,-1.554,-1.423,-1.752,-1.846
-1.704999924,-1.573,-1.908,-1.683,-1.783
1.194000006,-2.038,-2.027,-1.648,-1.908
-2.238999844,-2.181,-2.152,-1.896,-2.113
-2.132999897,-2.315,-5.318,-1.888,-4.005
-1.893000007,-2.468,-5.315,-1.909,-4.672
-2.552999973,-4.074,-2.231,-1.927,-4.674
-2.46600008,-2.097,-2.546,-2.335,-4.786
-2.320999861,-1.875,-2.723,-2.594,-3.919
-2.832999945,-1.243,-2.11,-2.441,-5.195
-2.622999907,-1.3,-2.224,-2.508,-4.054
-2.629999876,-1.279,-2.128,-4.659,-4.274
-2.463999987,-0.739,-1.969,-4.664,-4.148
-2.467000008,-0.561,-1.982,-2.12,-4.071
-2.529999971,0.091,-1.368,-2.07,-4.098
-2.664000034,-0.025,-1.133,-1.664,-4.263
-2.457999945,-0.679,-0.927,-0.866,-4.341
-2.345000029,-0.367,-0.358,0.149,-4.331
-2.296999931,-0.594,0.034,0.241,-4.73
-2.562000036,-1.398,-0.37,-0.027,-4.824
-2.346999884,-1.887,-0.524,0.411,-4.902
-2.754000187,-1.755,0.024,0.013,-4.762
-3.795000076,-1.756,-0.047,1.357,-4.824
-3.838000059,-2.745,-0.291,1.539,-5.033
-2.190000057,-2.589,0.361,1.304,-5.091
-0.773000002,-1.797,-0.307,1.413,-4.744
-0.075999998,-2.823,-0.702,1.242,-4.467
0.842000008,-3.463,-0.466,1.308,-4.177
0.843999982,-3.293,-0.573,0.892,-4.51
0.792999983,-3.395,-0.57,-0.546,-4.403
0.673999965,-2.697,-0.427,-0.699,-4.113
1.372999907,-3.012,-0.412,-0.704,-4.622
-2.691999912,-2.986,-1.431,-0.746,-4.454
-1.417999983,-2.577,-0.532,-1.489,-7.353
-2.637000084,-2.783,-0.77,-1.698,-7.353
-1.898999929,-2.833,-0.805,-0.955,-4.47
-2.226999998,-2.766,-0.436,-1.827,-3.694
-2.230999947,-2.739,-0.644,-0.904,-3.501
-1.062999964,-2.395,-0.593,-1.634,-3.184
-1.996999979,-2.206,-0.314,-1.237,-2.23
-1.440999985,-2.161,-0.517,-1.584,-2.255
-1.637999892,-2.15,-0.601,-1.567,-2.423
-1.754000068,-1.633,-0.719,-0.914,-2.194
-2.101000071,-1.545,-0.492,-1.316,-1.724
-1.64199996,-1.664,-0.361,-1.832,-2.469
-2.013000011,-1.66,-0.595,-1.607,-2.141
-3.037999868,-1.489,-0.715,-1.531,-3.459
-2.358999968,-1.416,-0.83,-1.531,-3.616
-2.401000023,-2.019,-0.943,-1.528,-3.547
-1.839999914,-2.585,-0.873,-1.958,-3.967
-2.085999966,-2.812,-0.727,-1.966,-4.34
-2.273999929,-3.088,-0.907,-1.869,-4.343
-2.51699996,-3.615,-0.942,-1.686,-4.621
-2.09100008,-2.343,-1.091,-1.762,-5.224
-2.262000084,-2.068,-1.06,-1.974,-5.727
-3.004999876,-2.04,-1.249,-1.963,-5.698
-2.613999844,-2.182,-1.326,-2.015,-4.676
-2.837999821,-1.845,-1.76,-2.025,-4.246
-2.629999876,-2.034,-1.861,-2.286,-4.708
-2.735000134,-0.506,-2.289,-2.689,-4.758
-2.622999907,-1.049,-2.689,-2.82,-3.554
-2.382999897,-0.798,-2.686,-2.269,-4.294
-4.170000076,-0.475,-2.955,-1.884,-4.493
-3.497999907,-1.445,-2.547,-1.051,-4.955
3.654999971,-0.804,-2.88,-0.545,-5.183
0.859000027,-1.841,-2.539,-0.554,-4.714
-2.155999899,-2.306,-2.429,-0.625,-4.921
-1.43599999,-2.115,-2.56,0.141,-4.944
0.405000031,-2.501,-2.421,0.179,-4.593
0.745999992,-2.5,-1.925,0.471,-5.063
0.873999953,-2.5,-1.385,0.599,-4.863
1.905999899,-2.834,-1.277,0.863,-4.857
2.03399992,-2.022,-0.34,0.605,-4.809
-1.744000077,-2.424,-0.528,0.618,-4.635
-5.440000057,-3.612,-0.455,0.723,-4.464
-1.862999916,-2.794,-0.659,0.828,-4.427
-1.422000051,-2.819,-0.29,-0.531,-4.023
-1.924000025,-3.778,0.015,0.321,-4.528
-2.110000134,-2.807,-0.395,-0.926,-5.074
-3.649000168,-2.761,-0.401,-0.729,-6.53
-3.652999878,-2.654,-0.595,-0.72,-2.896
4.274000168,-2.591,-0.258,-0.726,-3.461
-1.752000093,-2.298,0.114,-1.062,-3.662
-1.453999996,-2.538,0.084,-1.172,-3.22
-0.336999983,-2.726,-0.292,-1.589,-2.497
-1.782999992,-2.569,-0.608,-0.636,-2.365
-2.200999975,-2.424,-1.182,-1.39,-2.121
-1.839999914,-2.234,-0.585,-1.479,-2.003
-1.995000124,-1.942,-0.762,-1.173,-2.104
-2.121999979,-1.824,-0.743,-1.186,-3.783
-2.627000093,-1.855,-0.887,-1.793,-4.048
-2.148999929,-1.435,-0.32,-1.071,-3.647
-2.179000139,-1.613,-0.11,-1.656,-3.464
-1.871999979,-1.552,-0.837,-1.429,-3.755
-2.157000065,-1.567,-1.07,-1.41,-3.845
-2.101999998,-1.148,-0.648,-1.888,-4.213
-2.420000076,-1.657,-0.513,-1.655,-4.215
-2.654999971,-2.278,-0.69,-1.895,-4.209
-2.296999931,-2.687,-0.752,-2.018,-4.901
-2.316999912,-3.2,-0.724,-1.855,-3.904
-2.431999922,-3.557,-0.564,-1.82,-4.609
-2.570000172,-2.929,-0.698,-1.997,-4.136
-1.946999907,-2.118,-0.661,-2.129,-3.985
-3.179000139,-2.115,-0.724,-2.221,-4.34
-2.820000172,-2.346,-0.795,-2.201,-4.323
-3.718999863,-3.084,-0.796,-2.039,-3.91
-4.550000191,-1.39,-0.811,-2.084,-3.706
1.565999985,-1.221,-0.916,-2.172,-3.928
-1.595000029,-2.401,-1.059,-2.356,-4.311
-0.109999999,-2.033,-1.059,-2.595,-5.134
0.317000002,-2.233,-1.011,-2.367,-4.47
0.194000006,-1.731,-1.175,-2.345,-4.515
1.478999972,-1.683,-1.307,-2.119,-4.837
1.899999976,-2.546,-1.228,-1.481,-4.705
0.61500001,-2.525,-1.699,-0.679,-4.966
-1.343000054,-2.543,-2.406,-0.65,-4.734
-1.916000009,-2.543,-2.725,-0.987,-4.563
-1.700999975,-2.49,-2.722,-0.97,-4.395
-1.736000061,-1.777,-2.636,-0.495,-4.37
-1.75999999,-2.316,-2.995,-0.082,-4.079
-1.481000066,-2.894,-2.725,-0.572,-4.214
-1.128000021,-3.2,-2.854,0.73,-4.254
-1.879999876,-3.17,-2.526,1.234,-4.208
-2.377000093,-3.095,-2.462,0.723,-5.377
3.588999987,-2.988,-2.38,1.153,-5.011
3.584000111,-3.552,-2.065,-0.004,-3.015
-2.662000179,-2.813,-1.454,-0.3,-2.875
-1.787999868,-2.721,-0.831,-0.635,-2.595
-2.433000088,-2.112,-0.951,-0.305,-3.243
